fingerprint 2C8 3A4 2D6 2C9 1A2 2C19
0000000000000000000000101000000000000000001000000000000000100001100000000000101010100001000010011000000011000100011010011010111001101010110111000010101011111111111110 0.187086643 0.000435 0.124938737 0.070581074 0.301029996 0.096910013
0000000000000000000000000010000000000000000000000000000010000000000000000000000000101110100000110001000010111010111101000100111010010100110110111111110111101111111110 0.000435 0.000435 0.086186148 0.000435 0.000435 0.000435
0000000000000000001000000000000000000000000000000100000000000000000000000101000000001100000010000011000010000010001101000100101000000000010010011011100010100101111010 0.193820026 0.124938737 0.841637508 0.000435 0.070581074 0.641113796
0000000000000000001000000000000000000000000000000000000010000000010000010000000000000000100000000100010010010001001101010011001110010000100110101110110101001011001110 0.107905397 0.251811973 0.036212173 0.000435 2.080921908 0.180456064
0000000000000000000000001000000000000000010000000000000000000000100100000010101100101110010010010101000111100010100001011100111110001110110111111011011110111101000000 0.283996656 0.974694135 0.863279433 0.000435 0.000435 0.187086643
0000000000000000000000000000000000000000000000000000010000000000000000010100000001010000010100101001000100001110100110000000011000110000011011100100101111111111111110 0.124938737 0.000435 0.000435 0.000435 0.000435 0.000435
0000000000000000000000000000000000000000000000000000000000000000000100000110001000101100000000111001000000011010001001001100111111001010110111001011100010111101111110 0.022276395 0.167491087 3 0.000435 0.000435 0.113509275
0000000000000000000000000100000000000000000000000100000010000000010000010001000001100000101000010010100110011001011101010010001110110001101110101110110111101011001110 0.523603173 1.35261703 0.207608311 0.726998728 0.065501549 0.119186408
0000000000000000001000000000000000001000000000000000000000000000000000000010100000011000000000000010000011000100000010001100101000000010110111011001001001010100111110 0.055517328 0.107905397 0.000435 0.075720714 0.036212173 0.187086643
0000000000000000000000000000000000000000000000000000000000000000100000000000000100001110011000000101001110110010011101001100101110001110110011001011101010110101111010 0.187086643 0.000435 0.096910013 0.050609993 0.096910013 0.086186148
0000000000000000000000000000000000000000000000000000000000000000100000000100000000001110000010000101001000100010001100001100101000000100110011001011100010110101111010 0.065501549 0.000435 0.681936665 0.000435 0.283996656 0.000435
0000000000000000000000000000000110000000001000000010001001111101001110001000000010110011100101010000011011100101000010001001101001100101111111111101011101010000000000 0.055517328 0.000435 0.000435 0.026872146 0.022276395 0.180456064
0000000000000000000000001000000000000000101000000000000000000000100000000000111101100101011010010001000101010010000100111000001010100000110011010010111010110101110010 0.473273133 0.055517328 0.292429824 0.107905397 0.22184875 1.052566278
0000000000000010000000000000000000000000010000000000000000000000000000000010000100011110110110101101001100111110100111001100111110111110110111111111111100000000000000 0.096910013 0.124938737 0.283996656 0.096910013 0.15490196 0.107905397
0000000000000000000000000000000000000000000000000000000000000000110100000010101000101010000000010000001000100001000000011100101000000100100111011001010000010100111010 2.096910013 3 1.130181792 2.853871964 1.903089987 2.055517328
0000000000000000001000000000000000000100000000000000000000000100000000000010111100001110000010000101001010100010001101111100101111001110110111011011001010010101111010 0.180456064 0.055517328 0.207608311 0.193820026 0.26760624 0.236572006
0000000000000000000000000000000000000000000000000000110000000000000000000110001000001100111110101011000100010110011110011100001101110001111111100101111111111111000000 0.000435 1.612610174 0.107905397 0.000435 0.000435 0.096910013
0000000000000000100000000100000000000000000000000100000010000000110100100001000000100000011001011010010110010001001101011001001110010000101110111010110100001011111110 1.761953897 0.180456064 1.659555885 1.946921557 0.283996656 1.696803943
0000000000000000000000000100000000000000010000000100100000000000010000010001000001000010111000010010000110111001001100000000001110110101001110101110110111101011001110 0.124938737 0.022276395 0.000435 0.070581074 0.000435 0.000435
0000000000000000000000000000000000000000000000000100110010000100010000010001000000100000111000010110000110011001001101010010011111110000101110101110110111001011001110 0.096910013 0.055517328 0.000435 0.086186148 0.045757491 0.086186148
